exception_id,order_id,store_id,created_at,exception_type,reason,category,status,refund_amount,resolution_minutes,fraud_risk_score
ex_000005,ord_000005,store_048,2026-05-20T21:47,return,wrong_item,apparel,resolved,97.8,23,0.05
ex_000008,ord_000008,store_015,2026-05-21T16:00,return,missing_item,frozen,resolved,74.3,26,0.08
ex_000013,ord_000013,store_020,2026-05-06T10:22,refund_request,missing_item,fresh,resolved,28.95,31,0.13
ex_000020,ord_000020,store_030,2026-05-09T15:10,return,wrong_item,frozen,resolved,189.65,38,0.2
ex_000023,ord_000023,store_028,2026-05-21T12:00,return,missing_item,apparel,resolved,174.1,41,0.23
ex_000025,ord_000025,store_037,2026-05-24T18:24,return,wrong_item,fresh,resolved,40.95,43,0.25
ex_000030,ord_000030,store_033,2026-05-22T12:34,return,wrong_item,grocery,pending,67.15,48,0.3
ex_000031,ord_000031,store_024,2026-05-08T12:53,cancellation,damaged_item,fresh,resolved,89.35,49,0.31
ex_000040,ord_000040,store_026,2026-05-14T20:16,return,wrong_item,electronics,resolved,74.5,58,0.4
ex_000046,ord_000046,store_002,2026-05-02T19:41,return,damaged_item,electronics,resolved,77.85,64,0.46
ex_000047,ord_000047,store_020,2026-05-17T15:13,complaint,late_order,apparel,resolved,145.1,65,0.47
ex_000057,ord_000057,store_017,2026-05-01T22:55,complaint,late_order,household,resolved,178.95,75,0.57
ex_000082,ord_000082,store_039,2026-05-16T20:55,complaint,late_order,electronics,resolved,110.7,100,0.82
ex_000094,ord_000094,store_027,2026-05-15T10:44,return,customer_changed_mind,electronics,resolved,61.75,112,0.94
ex_000121,ord_000121,store_008,2026-05-21T18:18,return,damaged_item,fresh,resolved,139.1,139,0.21
ex_000123,ord_000123,store_005,2026-05-04T15:43,return,missing_item,household,resolved,82.8,141,0.23
ex_000126,ord_000126,store_005,2026-05-23T13:30,return,damaged_item,grocery,pending,67.25,144,0.26
ex_000141,ord_000141,store_019,2026-05-23T16:45,return,damaged_item,household,resolved,76.95,159,0.41
ex_000149,ord_000149,store_005,2026-05-04T21:27,return,customer_changed_mind,apparel,resolved,111.45,167,0.49
ex_000152,ord_000152,store_025,2026-05-03T13:37,complaint,late_order,frozen,resolved,111.8,170,0.52
ex_000158,ord_000158,store_033,2026-05-11T12:58,return,missing_item,frozen,resolved,93.95,176,0.58
ex_000159,ord_000159,store_010,2026-05-06T19:14,return,customer_changed_mind,household,resolved,153.25,177,0.59
ex_000160,ord_000160,store_017,2026-05-05T11:35,return,wrong_item,electronics,resolved,34.5,18,0.6
ex_000188,ord_000188,store_033,2026-05-05T19:45,return,missing_item,frozen,resolved,67.8,46,0.88
ex_000191,ord_000191,store_037,2026-05-02T14:46,return,damaged_item,apparel,resolved,65.5,49,0.91
ex_000193,ord_000193,store_024,2026-05-25T09:31,return,missing_item,fresh,resolved,54.25,51,0.93
ex_000205,ord_000205,store_015,2026-05-11T08:12,return,wrong_item,fresh,resolved,74.2,63,0.05
ex_000206,ord_000206,store_003,2026-05-11T18:58,return,damaged_item,frozen,resolved,83.15,64,0.06
ex_000232,ord_000232,store_046,2026-05-16T14:37,complaint,late_order,electronics,resolved,130.35,90,0.32
ex_000235,ord_000235,store_011,2026-05-02T20:18,return,wrong_item,fresh,resolved,130.7,93,0.35
ex_000241,ord_000241,store_007,2026-05-07T21:51,return,damaged_item,fresh,resolved,22.25,99,0.41
ex_000253,ord_000253,store_017,2026-05-18T19:59,return,missing_item,fresh,resolved,288.65,111,0.53
ex_000255,ord_000255,store_042,2026-05-12T13:39,return,wrong_item,household,resolved,62.75,113,0.55
ex_000273,ord_000273,store_046,2026-05-05T20:37,refund_request,missing_item,household,resolved,80.75,131,0.73
ex_000282,ord_000282,store_047,2026-05-05T14:41,complaint,late_order,grocery,pending,84.45,140,0.82
ex_000285,ord_000285,store_023,2026-05-05T14:37,return,wrong_item,household,resolved,87.45,143,0.85
ex_000294,ord_000294,store_040,2026-05-22T09:56,return,customer_changed_mind,grocery,pending,72.6,152,0.94
ex_000304,ord_000304,store_036,2026-05-03T15:16,return,customer_changed_mind,electronics,resolved,85.25,162,0.04
ex_000305,ord_000305,store_017,2026-05-23T17:19,return,wrong_item,apparel,resolved,88.9,163,0.05
ex_000307,ord_000307,store_012,2026-05-22T22:28,complaint,late_order,fresh,resolved,178.35,165,0.07
ex_000310,ord_000310,store_017,2026-05-24T09:08,cancellation,wrong_item,electronics,resolved,115.1,168,0.1
ex_000321,ord_000321,store_003,2026-05-18T10:06,return,damaged_item,household,resolved,59.35,19,0.21
